Education,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Children,Age,Partner,Family_Size,Age_Category,MntTotal,Cluster
Graduated,66565.0,0,1,80,747,10,161,65,40,42,4,4,2,9,8,0,0,0,0,0,0,0,1,61,Not Partner,2,Elderly,1065,3
Post Graduated,29298.0,1,1,60,6,0,2,2,0,1,1,1,0,2,5,0,0,0,0,0,0,0,2,72,Partner,4,Elderly,11,3
Graduated,47691.0,0,1,43,14,0,3,0,0,4,1,1,0,2,6,0,0,0,0,0,0,0,1,44,Not Partner,2,Adult,21,3
Graduated,38200.0,1,1,19,12,0,4,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,2,53,Partner,4,Adult,17,0
Graduated,44989.0,0,1,26,98,0,106,49,10,106,5,5,1,5,6,0,0,0,0,0,0,0,1,49,Partner,3,Adult,369,3
Post Graduated,38443.0,1,1,58,32,0,5,0,0,1,2,1,0,3,7,0,0,0,0,0,0,0,2,55,Partner,4,Adult,38,0
Graduated,38593.0,1,0,42,51,12,49,17,24,24,3,4,1,3,8,0,0,0,0,0,0,0,1,45,Not Partner,2,Adult,177,0
Post Graduated,64413.0,0,1,27,200,5,44,0,10,20,1,5,1,5,5,0,0,0,0,0,0,0,1,53,Partner,3,Adult,279,2
Post Graduated,36959.0,1,0,56,25,6,25,6,0,0,2,2,0,3,8,0,0,0,0,0,0,0,1,42,Partner,3,Adult,62,1
Post Graduated,61996.0,0,1,27,1050,12,144,0,0,24,3,6,4,8,5,0,1,0,1,1,0,1,1,46,Partner,3,Adult,1230,3
Graduated,51287.0,1,1,10,117,0,22,13,0,30,3,4,1,3,7,0,0,0,0,0,0,0,2,55,Partner,4,Adult,182,0
Graduated,13260.0,1,1,48,9,4,17,10,2,7,4,3,0,3,8,0,0,0,0,0,0,0,2,53,Partner,4,Adult,49,0
Post Graduated,47472.0,1,1,39,56,0,11,0,0,8,2,2,0,4,5,0,0,0,0,0,0,0,2,57,Partner,4,Adult,75,2
Post Graduated,54603.0,1,1,85,145,13,46,17,2,4,6,4,2,4,7,0,0,0,0,0,0,0,2,67,Partner,4,Elderly,227,2
Post Graduated,45207.0,1,1,64,203,0,10,0,0,2,5,3,1,6,6,0,1,0,0,0,0,0,2,49,Partner,4,Adult,215,0
Graduated,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,1,72,Partner,3,Elderly,444,1
Graduated,47821.0,1,1,54,9,0,16,6,6,10,1,1,0,3,8,0,0,0,0,0,0,0,2,56,Partner,4,Adult,47,0
Post Graduated,27450.0,0,0,57,37,12,23,8,11,52,1,2,1,3,7,0,0,0,0,0,0,0,0,72,Partner,2,Elderly,143,0
Graduated,39453.0,1,0,64,46,0,7,0,0,2,2,2,0,3,6,0,0,0,0,0,0,0,1,40,Partner,3,Adult,55,3
Graduated,26850.0,1,1,10,31,1,13,7,2,9,4,2,1,4,4,0,0,0,0,0,0,0,2,52,Partner,4,Adult,63,0
Graduated,79800.0,0,0,65,1060,21,530,32,0,224,1,5,11,5,3,1,0,1,1,0,0,1,0,68,Not Partner,1,Elderly,1867,0
Post Graduated,61794.0,0,1,74,264,47,188,54,47,11,2,4,4,10,2,0,0,0,0,0,0,0,1,62,Partner,3,Elderly,611,3
Graduated,53863.0,0,1,4,399,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,0,0,1,68,Partner,3,Elderly,473,1
Graduated,24221.0,0,0,94,8,9,9,2,5,22,1,1,1,3,4,0,0,0,0,0,0,0,0,64,Partner,2,Elderly,55,2
Post Graduated,39684.0,1,0,41,19,0,35,6,4,17,2,2,1,2,7,0,0,0,0,0,1,1,1,39,Not Partner,2,Adult,81,3
Post Graduated,92163.0,0,0,25,817,183,797,106,163,20,0,5,11,5,2,0,0,1,1,0,0,1,0,48,Partner,2,Adult,2086,3
Post Graduated,69882.0,0,0,94,292,127,635,132,127,165,1,3,7,9,1,0,0,0,0,0,0,0,0,58,Not Partner,1,Adult,1478,0
Graduated,33178.0,1,0,9,12,6,2,11,2,16,1,1,0,3,4,0,0,0,0,0,0,0,1,46,Partner,3,Adult,49,0
Post Graduated,59973.0,0,0,47,130,30,168,20,34,0,1,3,4,7,1,0,0,0,0,0,0,0,0,51,Partner,2,Adult,382,3
Post Graduated,17459.0,1,0,12,6,4,16,3,10,30,3,3,1,2,7,0,0,0,0,0,0,1,1,48,Partner,3,Adult,69,0
Graduated,23910.0,1,0,80,16,12,18,7,1,13,1,2,0,3,7,0,0,0,0,0,0,0,1,54,Not Partner,2,Adult,67,2
Post Graduated,42169.0,1,1,20,19,0,9,0,0,2,2,1,0,3,8,0,0,0,0,0,0,0,2,54,Partner,4,Adult,30,0
Graduated,26224.0,1,0,39,4,7,15,13,9,15,3,2,1,3,6,0,0,0,0,0,0,0,1,45,Partner,3,Adult,63,1
Graduated,31089.0,1,0,57,31,3,31,2,8,4,3,3,0,4,8,0,0,0,0,0,0,0,1,42,Partner,3,Adult,79,0
Graduated,30081.0,0,1,27,36,0,2,0,0,4,1,1,0,3,7,0,0,0,0,0,0,0,1,62,Not Partner,2,Elderly,42,3
Graduated,62807.0,0,1,83,526,28,135,10,21,99,3,5,3,12,5,0,0,0,0,0,0,0,1,63,Partner,3,Elderly,819,2
Graduated,72906.0,0,0,79,400,32,519,71,75,54,1,3,4,9,1,0,0,0,0,0,0,0,0,68,Not Partner,1,Elderly,1151,3
Post Graduated,61467.0,0,2,69,410,16,114,0,5,49,3,5,2,10,5,0,0,0,0,0,0,0,2,75,Partner,4,Elderly,594,3
Post Graduated,49618.0,1,1,77,80,3,26,4,2,14,4,3,1,3,7,0,0,0,0,0,0,0,2,57,Partner,4,Adult,129,3
Post Graduated,21888.0,1,0,15,88,10,46,2,3,64,4,5,1,2,10,0,0,0,0,0,0,1,1,37,Not Partner,2,Adult,213,0
Graduated,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,1,50,Not Partner,2,Adult,67,3
Graduated,26150.0,2,1,61,5,1,13,3,5,1,1,1,0,3,7,0,0,0,0,0,0,0,3,67,Not Partner,4,Elderly,28,3
Not Graduated,30801.0,0,1,23,8,4,5,15,2,11,2,1,0,3,7,0,0,0,0,0,0,0,1,48,Partner,3,Adult,45,0
Graduated,81168.0,0,0,84,410,0,592,147,22,22,1,6,4,7,3,0,0,0,1,0,0,0,0,58,Partner,2,Adult,1193,2
Post Graduated,26877.0,0,0,74,101,13,76,20,18,40,2,3,1,6,6,0,0,0,0,0,0,0,0,54,Not Partner,1,Adult,268,0
Post Graduated,45006.0,0,0,90,162,25,53,16,0,10,1,3,1,7,3,0,0,0,0,0,0,0,0,79,Not Partner,1,Elderly,266,2
Not Graduated,18978.0,1,0,41,2,8,1,4,7,15,1,1,0,3,8,0,0,0,0,0,0,0,1,50,Partner,3,Adult,37,0
Graduated,22574.0,2,1,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,0,3,56,Partner,5,Adult,37,2
Post Graduated,48240.0,0,0,73,389,91,248,64,49,41,3,6,3,13,5,0,0,0,0,0,0,1,0,54,Not Partner,1,Adult,882,1
Graduated,45837.0,1,1,88,215,13,87,17,17,24,5,6,2,5,7,0,0,0,0,0,0,0,2,49,Partner,4,Adult,373,0
Post Graduated,35791.0,2,1,94,27,0,5,0,0,3,2,1,0,3,8,0,0,0,0,0,0,0,3,58,Not Partner,4,Adult,35,0
Post Graduated,162397.0,1,1,31,85,1,16,2,1,2,0,0,0,1,1,0,0,0,0,0,0,0,2,47,Partner,4,Adult,107,1
Graduated,54162.0,1,1,31,5,6,10,6,5,10,1,1,0,3,4,0,0,0,0,0,0,0,2,45,Not Partner,3,Adult,42,1
Post Graduated,30522.0,0,1,6,179,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,0,0,1,63,Partner,3,Elderly,326,1
Post Graduated,54456.0,0,1,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,1,62,Partner,3,Elderly,404,0
Graduated,31632.0,0,0,92,17,8,12,11,15,32,1,2,1,2,7,0,0,0,0,0,0,0,0,52,Not Partner,1,Adult,95,2
Graduated,72298.0,0,0,52,625,35,169,58,17,35,1,4,3,6,1,0,1,1,0,0,0,0,0,74,Not Partner,1,Elderly,939,3
Graduated,36975.0,1,0,50,10,6,11,0,4,2,1,1,0,3,7,0,0,0,0,0,0,0,1,45,Not Partner,2,Adult,33,2
Graduated,72635.0,0,0,54,390,22,323,104,35,107,1,6,8,6,3,0,0,0,1,0,0,0,0,68,Partner,2,Elderly,981,1
Graduated,13624.0,1,0,93,10,2,15,2,1,6,2,2,0,3,6,0,0,0,0,0,0,0,1,47,Partner,3,Adult,36,1
Graduated,84196.0,0,1,56,215,63,507,231,31,190,1,8,4,7,3,0,0,0,0,0,0,0,1,48,Not Partner,2,Adult,1237,1
Graduated,70971.0,0,1,28,1001,17,572,93,125,17,7,11,11,5,7,0,0,0,0,0,0,1,1,63,Partner,3,Elderly,1825,1
Post Graduated,34487.0,1,1,94,19,18,33,24,1,8,3,3,0,3,9,0,0,0,0,0,0,0,2,46,Not Partner,3,Adult,103,1
Graduated,28769.0,1,0,76,41,5,129,10,3,3,3,4,1,4,9,0,0,0,0,0,0,0,1,46,Not Partner,2,Adult,191,1
Post Graduated,69084.0,1,0,43,1181,107,199,39,30,30,2,7,3,13,8,0,0,0,0,0,0,0,1,53,Partner,3,Adult,1586,0
Post Graduated,65488.0,0,0,46,603,45,207,36,18,54,1,3,4,6,1,0,0,0,0,0,0,0,0,65,Partner,2,Elderly,963,2
Graduated,62466.0,0,1,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,0,1,53,Partner,3,Adult,889,3
Graduated,32218.0,0,0,27,10,24,15,13,1,30,1,2,1,3,7,1,0,0,0,0,0,1,0,63,Not Partner,1,Elderly,93,2
Graduated,83917.0,0,0,12,514,22,732,42,198,79,1,6,7,7,3,0,0,0,0,0,0,1,0,50,Not Partner,1,Adult,1587,0
Graduated,46102.0,2,1,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,3,61,Not Partner,4,Elderly,16,1
Graduated,84574.0,0,0,72,387,20,713,38,54,163,1,9,11,11,5,0,0,0,0,0,0,0,0,71,Not Partner,1,Elderly,1375,1
Graduated,56181.0,0,1,6,121,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,0,0,1,61,Partner,3,Elderly,393,2
Post Graduated,63120.0,0,1,53,965,69,279,54,41,69,5,8,4,9,7,0,0,0,0,0,0,1,1,73,Not Partner,2,Elderly,1477,0
Graduated,73691.0,0,1,58,707,21,250,85,43,73,2,6,2,8,2,1,0,0,0,0,0,0,1,52,Partner,3,Adult,1179,1
Graduated,63381.0,0,1,78,571,50,142,33,50,159,4,4,5,13,2,0,0,0,0,0,0,0,1,63,Partner,3,Elderly,1005,3
Post Graduated,76140.0,0,0,57,586,66,653,17,0,26,1,5,9,6,2,0,0,0,0,0,0,0,0,75,Partner,2,Elderly,1348,3
Post Graduated,62859.0,0,1,37,1063,89,102,16,12,25,4,9,4,6,6,0,0,0,0,0,0,0,1,64,Not Partner,2,Elderly,1307,0
Graduated,45906.0,0,1,20,305,3,27,4,3,144,2,5,4,4,5,1,0,0,0,0,0,0,1,59,Not Partner,2,Adult,486,3
Post Graduated,77632.0,0,0,73,1200,105,758,0,42,147,1,4,2,6,2,0,1,1,0,0,0,1,0,76,Partner,2,Elderly,2252,1
Post Graduated,46463.0,1,1,56,163,2,40,8,11,11,7,3,1,6,6,0,0,0,0,0,0,0,2,52,Partner,4,Adult,235,1
Graduated,105471.0,0,0,36,1009,181,104,202,21,207,0,9,8,13,3,0,0,1,1,0,0,1,0,53,Partner,2,Adult,1724,3
Post Graduated,55282.0,1,0,9,125,6,73,8,4,19,1,3,1,6,4,0,0,0,0,0,0,0,1,53,Not Partner,2,Adult,235,1
Post Graduated,78710.0,0,1,42,721,0,152,119,50,50,3,7,6,12,4,0,0,0,0,0,0,0,1,46,Partner,3,Adult,1092,0
Graduated,66886.0,0,1,28,315,4,62,41,31,146,2,7,1,7,5,0,0,0,0,0,0,0,1,65,Partner,3,Elderly,599,2
Post Graduated,98777.0,0,0,23,1000,19,711,125,115,38,0,4,6,9,1,0,1,0,0,0,0,0,0,63,Not Partner,1,Elderly,2008,0
Graduated,29103.0,1,0,38,16,0,17,6,3,6,2,1,0,3,9,0,0,0,0,0,0,0,1,38,Partner,3,Adult,48,3
Graduated,67445.0,0,1,63,757,80,217,29,80,11,5,9,6,12,6,0,0,0,0,0,0,0,1,49,Partner,3,Adult,1174,0
Post Graduated,50616.0,0,1,71,30,2,25,0,1,9,1,1,1,4,2,0,0,0,0,0,0,0,1,73,Partner,3,Elderly,67,0
Graduated,49431.0,0,1,9,219,3,100,26,0,17,2,7,1,5,8,0,0,0,0,0,0,0,1,68,Not Partner,2,Elderly,365,0
Graduated,153924.0,0,0,81,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,48,Not Partner,1,Adult,6,0
Graduated,61278.0,0,1,87,111,3,28,2,6,15,2,3,1,4,6,0,0,0,0,0,0,0,1,70,Partner,3,Elderly,165,3
Graduated,26490.0,0,0,92,45,47,52,21,20,25,2,3,1,5,6,0,0,0,0,0,0,0,0,65,Partner,2,Elderly,210,1
Post Graduated,73059.0,0,1,36,410,112,420,0,82,71,1,9,3,13,4,0,0,0,0,0,0,0,1,76,Partner,3,Elderly,1095,3
Post Graduated,46734.0,1,2,86,100,1,39,6,1,76,4,3,2,3,6,1,0,0,0,0,0,0,3,57,Not Partner,4,Adult,223,2
Graduated,56253.0,0,1,83,509,0,65,7,11,5,4,7,2,9,6,0,0,0,0,0,0,0,1,60,Partner,3,Adult,597,1
Graduated,19986.0,1,0,74,3,6,5,0,2,6,1,0,0,3,7,0,0,0,0,0,0,0,1,38,Partner,3,Adult,22,1
Graduated,58330.0,0,1,87,445,53,213,104,98,151,1,6,4,13,4,0,0,0,0,0,0,0,1,48,Not Partner,2,Adult,1064,0
Not Graduated,25965.0,0,0,29,2,2,11,41,7,11,1,2,0,3,8,0,0,0,0,0,0,0,0,43,Partner,2,Adult,74,1
Post Graduated,14661.0,0,0,88,4,1,11,6,2,2,1,1,0,3,6,0,0,0,0,0,0,0,0,67,Partner,2,Elderly,26,2
Graduated,18690.0,0,0,77,6,1,7,23,4,19,1,1,1,2,8,0,0,0,0,0,0,0,0,64,Partner,2,Elderly,60,0
Post Graduated,45068.0,0,1,25,14,0,3,0,0,3,1,1,0,2,7,0,0,0,0,0,0,0,1,49,Partner,3,Adult,20,2
Not Graduated,21063.0,1,0,34,1,10,11,19,3,15,2,2,0,3,6,0,0,0,0,0,0,0,1,36,Not Partner,2,Adult,59,1
Post Graduated,29187.0,1,0,43,26,0,6,0,0,2,1,1,0,3,8,0,0,0,0,0,0,0,1,55,Partner,3,Adult,34,2
Graduated,54690.0,1,1,76,111,16,37,7,9,18,3,3,1,5,3,0,0,0,0,0,0,0,2,52,Partner,4,Adult,198,0
Post Graduated,59304.0,0,1,81,418,61,428,80,51,10,3,7,8,10,5,0,0,0,0,0,0,0,1,59,Partner,3,Adult,1048,3
Post Graduated,59247.0,0,2,87,327,9,122,19,14,83,5,5,2,9,6,0,0,0,0,0,0,0,2,61,Not Partner,3,Elderly,574,2
Graduated,66731.0,0,1,33,371,159,194,58,106,141,4,4,3,6,3,0,0,0,0,0,0,0,1,53,Not Partner,2,Adult,1029,1
Graduated,77353.0,0,1,38,275,59,107,69,101,59,2,6,4,8,4,0,0,0,0,0,0,0,1,43,Partner,3,Adult,670,2
Post Graduated,52614.0,0,1,63,789,0,142,12,9,38,2,2,4,8,8,0,0,0,0,0,0,0,1,48,Not Partner,2,Adult,990,2
Graduated,26751.0,2,0,26,1,1,5,0,3,1,1,1,0,2,8,0,0,0,0,0,0,0,2,49,Partner,4,Adult,11,2
Post Graduated,81300.0,0,1,17,1004,12,145,32,12,36,3,10,3,5,5,0,0,0,1,0,0,1,1,60,Partner,3,Adult,1241,2
Graduated,70337.0,0,0,75,187,81,149,25,43,91,1,2,2,12,1,0,0,0,0,0,0,0,0,44,Not Partner,1,Adult,576,1
Graduated,36145.0,1,0,13,56,4,76,17,1,18,4,4,1,3,9,1,0,0,0,0,0,1,1,38,Partner,3,Adult,172,2
Post Graduated,65295.0,0,0,19,365,32,117,34,110,6,1,3,3,13,2,0,0,0,0,0,0,0,0,43,Not Partner,1,Adult,664,3
Graduated,68118.0,0,1,51,595,23,123,10,23,154,2,8,9,4,6,0,0,0,0,0,0,0,1,60,Not Partner,2,Adult,928,0
Graduated,68743.0,0,0,81,1132,134,384,175,134,115,1,11,5,13,7,0,0,0,0,0,0,0,0,56,Not Partner,1,Adult,2074,3
Graduated,41039.0,0,0,32,34,11,137,179,61,45,1,8,1,5,8,0,0,0,0,0,0,0,0,41,Partner,2,Adult,467,3
Graduated,38946.0,0,1,84,116,6,82,6,6,41,2,3,1,6,5,0,0,0,0,0,0,0,1,68,Partner,3,Elderly,257,0
Graduated,65777.0,0,0,87,565,32,435,28,32,54,1,2,8,6,1,0,0,0,0,0,0,0,0,56,Partner,2,Adult,1146,3
Post Graduated,66476.0,0,1,99,372,18,126,47,48,78,2,5,2,11,4,0,0,0,0,0,0,0,1,47,Not Partner,2,Adult,689,1
Post Graduated,86857.0,0,0,96,899,102,838,133,102,40,1,5,6,10,2,0,0,0,0,0,0,1,0,51,Not Partner,1,Adult,2114,2
Post Graduated,160803.0,0,0,21,55,16,1622,17,3,4,15,0,28,1,0,0,0,0,0,0,0,0,0,41,Partner,2,Adult,1717,1
Post Graduated,77845.0,0,0,40,760,40,480,0,40,26,1,3,5,12,1,0,0,1,1,0,0,0,0,34,Partner,2,Adult,1346,0
Post Graduated,69476.0,0,0,3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,0,0,54,Partner,2,Adult,1044,1
Post Graduated,50611.0,0,1,98,459,0,24,6,0,4,6,4,5,7,6,0,1,0,0,0,0,1,1,63,Not Partner,2,Elderly,493,2
Graduated,61209.0,0,0,73,466,0,224,119,49,99,1,5,3,4,2,0,0,0,0,0,0,0,0,53,Not Partner,1,Adult,957,0
Post Graduated,42315.0,0,1,90,67,15,80,17,11,80,3,1,4,4,3,0,0,0,0,0,0,0,1,65,Partner,3,Elderly,270,2
Not Graduated,13084.0,0,0,29,2,0,7,3,7,10,1,1,0,3,6,0,0,0,0,0,0,0,0,71,Partner,2,Elderly,29,0
Post Graduated,47570.0,1,1,3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,0,1,2,74,Not Partner,3,Elderly,121,1
Post Graduated,61923.0,0,2,94,92,4,18,3,3,6,1,2,1,4,3,0,0,0,0,0,0,0,2,62,Partner,4,Elderly,126,1
Graduated,34824.0,0,0,65,4,2,11,2,0,4,1,1,0,2,6,0,0,0,0,0,0,0,0,28,Not Partner,1,Young,23,0
Post Graduated,26518.0,1,1,33,20,1,28,3,3,2,3,2,0,3,8,0,0,0,0,0,0,1,2,74,Not Partner,3,Elderly,57,0
Graduated,45938.0,0,0,46,273,11,178,62,83,29,2,8,4,6,6,0,0,0,0,0,0,0,0,62,Not Partner,1,Elderly,636,1
Graduated,78468.0,0,0,29,434,22,388,104,22,34,1,10,7,10,4,0,0,0,1,0,0,0,0,63,Partner,2,Elderly,1004,0
Graduated,78901.0,0,1,99,321,11,309,33,26,34,3,9,3,5,4,0,0,0,0,0,0,0,1,50,Not Partner,2,Adult,734,1
Graduated,71427.0,2,0,26,212,123,177,15,64,23,2,8,2,8,4,0,0,0,0,0,0,0,2,45,Partner,4,Adult,614,0
Graduated,71022.0,0,1,30,909,12,278,0,12,242,3,5,2,11,8,1,0,0,0,0,0,0,1,45,Not Partner,2,Adult,1453,2
Post Graduated,90247.0,0,0,27,1184,32,352,21,16,16,1,3,4,7,1,0,1,1,1,0,0,1,0,35,Not Partner,1,Adult,1621,2
Post Graduated,41335.0,1,0,24,112,19,21,16,14,5,3,4,1,4,7,0,0,0,0,0,0,0,1,55,Not Partner,2,Adult,187,0
Graduated,71952.0,1,0,93,656,80,455,52,107,93,2,8,4,8,4,1,0,1,0,0,0,0,1,37,Partner,3,Adult,1443,2
Post Graduated,35682.0,1,0,34,23,0,8,6,2,18,1,1,1,3,2,0,0,0,0,0,0,0,1,53,Not Partner,2,Adult,57,3
Graduated,43185.0,0,1,88,537,6,42,16,6,30,2,9,3,6,8,0,0,0,0,0,0,0,1,72,Not Partner,2,Elderly,637,1
Post Graduated,66375.0,0,1,96,712,0,45,0,0,191,3,2,4,5,7,1,0,0,0,0,0,0,1,75,Partner,3,Elderly,948,1
Post Graduated,35178.0,1,0,10,23,1,13,2,2,18,1,1,1,2,7,1,0,0,0,0,0,1,1,52,Partner,3,Adult,59,0
Graduated,25252.0,1,0,26,1,3,4,2,2,6,1,1,0,2,8,0,0,0,0,0,0,0,1,37,Partner,3,Adult,18,2
Post Graduated,55250.0,0,1,49,664,58,83,32,0,66,4,7,5,10,5,0,0,0,0,0,0,0,1,58,Not Partner,2,Adult,903,0
Graduated,33249.0,1,0,11,6,10,21,19,14,42,2,2,1,3,6,0,0,0,0,0,0,0,1,48,Not Partner,2,Adult,112,0
Graduated,58398.0,0,0,44,299,5,201,21,21,49,3,5,4,8,4,0,0,0,0,0,0,0,0,70,Partner,2,Elderly,596,2
Graduated,50272.0,1,0,75,99,13,66,43,8,4,3,4,1,5,7,0,0,0,0,0,0,0,1,41,Partner,3,Adult,233,2
Post Graduated,76618.0,0,0,64,749,40,294,121,160,147,1,3,2,5,1,0,0,0,0,0,0,0,0,48,Partner,2,Adult,1511,3
Graduated,87305.0,0,0,19,345,25,501,63,138,80,1,5,3,8,2,0,0,1,0,0,0,1,0,63,Not Partner,1,Elderly,1152,2
Graduated,25851.0,1,0,45,9,4,18,7,5,5,2,2,0,3,7,0,0,0,0,0,0,0,1,45,Partner,3,Adult,48,3
Graduated,58710.0,0,1,77,440,81,368,0,122,174,6,11,5,9,6,0,0,0,0,0,0,0,1,53,Not Partner,2,Adult,1185,3
Graduated,45160.0,1,1,9,8,2,5,3,0,3,1,1,0,2,7,0,0,0,0,0,0,0,2,65,Not Partner,3,Elderly,21,3
Post Graduated,74806.0,0,1,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,0,1,58,Partner,3,Adult,965,3
Graduated,59111.0,0,0,90,524,0,134,28,28,155,1,11,1,8,7,0,0,0,0,0,0,0,0,69,Partner,2,Elderly,869,1
Post Graduated,18988.0,1,0,43,6,0,6,2,1,1,2,1,0,3,7,0,0,0,0,0,0,0,1,39,Partner,3,Adult,16,2
Graduated,72190.0,0,0,79,597,166,597,172,166,249,1,5,6,4,3,0,0,0,0,0,0,0,0,58,Partner,2,Adult,1947,2
Graduated,7500.0,1,0,19,7,0,12,13,7,32,5,4,1,2,9,1,0,0,0,0,0,1,1,47,Partner,3,Adult,71,1
Graduated,44794.0,0,1,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,0,1,57,Partner,3,Adult,65,0
Graduated,80395.0,0,0,62,445,25,706,80,76,48,1,6,5,12,2,0,0,0,1,0,0,0,0,68,Partner,2,Elderly,1380,1
Post Graduated,75012.0,0,0,41,294,142,218,164,58,151,1,3,8,11,1,0,0,0,0,0,0,0,0,47,Not Partner,1,Adult,1027,1
Post Graduated,56962.0,2,1,60,292,3,77,10,3,26,7,6,3,5,7,0,0,0,0,0,0,0,3,58,Partner,5,Adult,411,3
Graduated,89891.0,0,0,17,412,22,132,59,28,183,1,11,6,8,4,0,0,1,0,0,0,0,0,32,Partner,2,Adult,836,3
Post Graduated,35946.0,1,1,24,8,0,3,0,0,0,1,0,0,3,5,0,0,0,0,0,0,0,2,74,Not Partner,3,Elderly,11,0
Post Graduated,53593.0,1,1,60,349,4,78,6,0,43,8,7,2,6,8,0,0,0,0,0,0,0,2,70,Partner,4,Elderly,480,2
Graduated,66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,2,45,Partner,4,Adult,606,2
Post Graduated,45072.0,1,2,74,144,2,99,7,2,30,5,6,1,4,8,0,0,0,0,0,0,0,3,75,Not Partner,4,Elderly,284,0
Graduated,89694.0,1,1,22,1126,28,211,37,28,42,3,4,3,4,5,0,1,1,1,0,0,0,2,50,Not Partner,3,Adult,1472,2
Graduated,72025.0,0,0,46,967,0,617,43,50,0,1,4,8,13,2,0,1,1,1,0,0,1,0,74,Partner,2,Elderly,1677,0
Graduated,67432.0,0,1,69,432,79,341,177,136,170,2,8,5,4,4,0,0,0,0,0,0,0,1,50,Partner,3,Adult,1335,2
Post Graduated,70545.0,0,1,29,138,39,63,55,18,21,1,4,1,7,2,0,0,0,0,0,0,0,1,71,Partner,3,Elderly,334,2
Not Graduated,17487.0,1,0,37,0,0,1,7,4,6,1,1,0,2,7,0,0,0,0,0,0,0,1,34,Partner,3,Adult,18,3
Graduated,62882.0,0,1,26,509,133,497,78,24,97,2,7,5,6,4,0,0,0,0,0,0,0,1,54,Partner,3,Adult,1338,2
Post Graduated,64108.0,0,1,8,948,10,86,13,21,21,4,6,9,11,5,0,0,0,0,0,0,0,1,70,Not Partner,2,Elderly,1099,2
Post Graduated,34941.0,1,1,26,39,2,25,4,3,24,2,3,0,3,8,0,0,0,0,0,0,0,2,67,Partner,4,Elderly,97,2
Post Graduated,48767.0,1,2,79,28,1,21,3,0,10,3,2,1,3,5,0,0,0,0,0,0,0,3,73,Not Partner,4,Elderly,63,2
Graduated,38702.0,1,0,71,13,11,24,13,8,40,2,3,0,4,6,0,0,0,0,0,0,0,1,45,Partner,3,Adult,109,1
Graduated,82224.0,0,0,83,307,26,360,138,31,40,1,6,9,5,3,0,0,0,1,0,0,0,0,59,Partner,2,Adult,902,1
Graduated,83844.0,0,0,57,901,31,345,75,31,191,1,4,4,11,1,0,0,1,0,0,0,0,0,71,Partner,2,Elderly,1574,0
Graduated,17003.0,1,0,37,2,5,12,4,8,7,3,2,0,4,5,0,0,0,0,0,0,0,1,48,Partner,3,Adult,38,3
Graduated,71163.0,0,0,30,283,17,372,138,106,44,1,3,8,12,1,0,0,0,0,0,0,0,0,28,Not Partner,1,Young,960,0
Graduated,33697.0,1,0,34,4,3,7,0,3,11,1,1,0,2,7,1,0,0,0,0,0,0,1,53,Not Partner,2,Adult,28,0
Graduated,63564.0,0,0,0,769,80,252,15,34,65,1,10,10,7,6,1,0,0,0,0,0,1,0,69,Partner,2,Elderly,1215,2
Post Graduated,83443.0,0,0,89,518,42,742,55,56,84,1,6,10,5,2,0,0,0,0,0,0,0,0,51,Partner,2,Adult,1497,0
Post Graduated,51518.0,0,1,92,350,8,66,17,4,4,2,3,2,10,3,0,0,0,0,0,0,0,1,65,Partner,3,Elderly,449,2
Graduated,58330.0,0,1,87,445,53,213,104,98,151,1,6,4,13,4,0,0,0,0,0,0,0,1,48,Not Partner,2,Adult,1064,3
Graduated,80952.0,0,0,20,778,178,689,41,27,44,1,8,5,11,8,0,1,1,1,0,0,1,0,54,Partner,2,Adult,1757,2
Graduated,75507.0,0,0,56,709,93,374,104,80,80,1,8,6,6,3,0,0,0,0,0,0,0,0,44,Partner,2,Adult,1440,2
Graduated,63855.0,0,0,28,359,35,314,93,116,89,1,7,3,13,4,0,0,0,0,0,0,0,0,45,Partner,2,Adult,1006,0
